单词,美音,definition,简明释义,精选短语
the,/ ðə; ði /,used to refer to something already mentioned,art. 这；那 adv. 更加（用于比较级，最高级前）,
be,/ biː; bi /,To exist; to be alive; used to give information about someone or something,aux. 被（用于被动语态）；正，正在（用于进行时） v. 是；有，存在 n. （Be）（缅）拜；（日）部（姓）,so be it: 诚心所愿；顺其自然 | let be: 听任；不干涉，不打扰
and,/ ænd; ənd /,used to refer to two or more things,conj. 和，与；就 n. （And）人名；（土、瑞典）安德,and so: 因此；所以 | and then: 于是，然后 | and so on: 等等；诸如此类
of,/ ʌv; əv /,belonging to or connected with something,prep. 属于；……的,of oneself: 自动地，自发地 | of all: 在所有…当中 | of itself: 自行
to,/ tuː; tə /,move towards; in the direction of,prep. 朝；位于…… adv. （门等）关上 n. （To）（汤霍特、丹）多（人名）,to and fro: 来回地
a,/ ə; eɪ /,one (of something),art. 一；任一,
in,/ ɪn /,being inside something,prep. 在……内；进……里 adv. 进入；在里头 adj. 在里面的；时髦的 n. 执政者；门路,in on: 参与，参加 | in between: 在中间 | in a big way: 大规模地，彻底地
have,/ hæv; həv /,"to own, possess, or hold something",v. 拥有；有（想法、主意、观点等） n. <非正式>有钱人（the haves）；<英，非正式>诈骗 其他 【名】 （Have）（德）哈弗，（芬）哈韦（人名）,have some: 有一些；吃一点吧 | have to be: 必定是，无疑是 | have to do: 不得不做某事
it,/ ɪt /,a thing that has been previously mentioned,pron. 它，这，那（指无生命的东西、动物、植物）；指已提到或将提及的事物、活动、经验、抽象观念等 n. （捉迷藏等儿童游戏中的）捉人者，找人者；意大利苦艾酒，味美思酒 abbr. （IT）信息技术（information technology）,as it were: 可以说是，似乎就是；好像
you,/ juː; jʊ /,person someone is speaking or writing to,pron. 你；你们 n. （You）人名；（柬）尤,as you were: ◎【军事】[用作操练口令]原地不动，还原，复原(指恢复原来的姿势)
he,/ hiː; hi /,object form of a male person you are talking about,pron. 他；（泛指的）人 n. 男性，男子；雄性动物 n. （He）（中、美、丹）赫（人名）,
for,/ fɔːr; fər /,"used to show the purpose, or need of something",prep. （表示对象、用途等）给，对；为了，以帮助 conj. 因为，由于 abbr. 外国（foreign）；林业（forestry） adv. 支持地,for all: 尽管；虽然 | as for: 关于，至于 | up for: 打算；在选举中被提名；在法庭受审；被关押
they,/ ðeɪ /,"used to refer to two or more people, animals, or things",pron. 他们；它们,
not,/ nɑːt /,"word indicating the negative of verbs, adjectives, etc.",adv. 表示否定，不 n. “非”（计算机中逻辑运算的一种）,so as not to: vt. 以便不（未到...的程度） | if not for: 要不是；若非 | not a thing: 没东西；什么都没有
that,/ ðæt /,used to show which person or thing we are talking about,det. 那，那个；那种 pron. 那，那个；那，那种 conj. ……可能是；由于 adv. 那样，那么；（非正式）很，非常 n. （That）（越）塔特（人名）,that there: [粗俗语]那…；那个… | that far: 那么远；到那里为止
we,/ wiː; wi /,used to refer to the speaker and other people together,pron. 我们（主格）；笔者，本人（作者或演讲人使用） n. （We）人名；（缅）韦,
on,/ ɑːn /,"located on the surface of something (e.g., a table or wall)",prep. 在……之上；向，朝 adv. 在上面；向前地 adj. 开着的；发生着的，正在进行中 n. （On）（中、菲）温（人名）,and so on: 等等；诸如此类 | just on: 将近，差不多 | on and off: 断断续续地，不时地
with,/ wɪð; wɪθ /,used to express that people or things are together,prep. 和……在一起；具有 n. （With）（美、印、俄）维特（人名）,with the: 与 | up with: 拿起，举起；拥护 | with all: 虽然有，即使
this,/ ðɪs /,"person, thing, or idea near you",pron. 这，这个；这样 adj. 这，这个（离说话人较近的） adv. 这样地，这么 det. 这（指前面曾提及或暗指的人或物）； 这（指当前所处的地方或时间） n. (This) （法、美、印、巴）蒂斯（人名）,
